flightId,crud,createdAt,flightType,from,to,airplaneType,fliedAt
NF4361,create,06/05/2024,local,ADD,JIJ,CASA C-212 Aviocar,06/05/2024
FC6104,create,06/05/2024,local,ADD,MQX,Britten-Norman BN-2 Islander,06/05/2024
GQ6152,create,06/05/2024,local,ADD,GDQ,d.Havilland Canada DHC-6 Twin O,06/05/2024
AK7506,create,06/05/2024,local,ADD,JIM,Cessna 208 Caravan,06/05/2024
WW5848,create,06/05/2024,international,ADD,LAX,Boeing 767,06/05/2024
MP4676,create,06/05/2024,international,ADD,ICN,Boeing 767,06/05/2024
BK6134,create,06/05/2024,international,ADD,DXB,Boeing 767,06/05/2024
LK7201,create,06/05/2024,local,ADD,GDQ,Beechcraft 1900,06/05/2024
HH4653,create,06/05/2024,local,ADD,LLI,d.Havilland Canada DHC-6 Twin O,06/05/2024
IL3302,create,06/05/2024,local,ADD,ADD,Britten-Norman BN-2 Islander,06/05/2024
IC8072,create,06/05/2024,local,ADD,JIJ,CASA C-212 Aviocar,06/05/2024
LV6840,create,06/05/2024,local,ADD,AMH,d.Havilland Canada DHC-6 Twin O,06/05/2024
HJ3972,create,06/05/2024,local,ADD,JIJ,Beechcraft 1900,06/05/2024
RC1344,create,06/05/2024,local,ADD,AXU,Britten-Norman BN-2 Islander,06/05/2024
NS6175,create,06/05/2024,international,ADD,LAX,Airbus A330,06/05/2024
IC5596,create,06/05/2024,local,ADD,AMH,d.Havilland Canada DHC-6 Twin O,06/05/2024
YX9571,create,06/05/2024,international,ADD,ICN,Boeing 787 Dreamliner,06/05/2024
ZG7774,create,06/05/2024,local,ADD,BJR,d.Havilland Canada DHC-6 Twin O,06/05/2024
NS5187,create,06/05/2024,international,ADD,LAX,Boeing 777,06/05/2024
PL9509,create,06/05/2024,international,ADD,CDG,Boeing 767,06/05/2024
WL2378,create,06/05/2024,local,ADD,LLI,Cessna 208 Caravan,06/05/2024
RN9560,create,06/05/2024,international,ADD,FRA,Boeing 747,06/05/2024
WA7460,create,06/05/2024,international,ADD,AMS,Airbus A330,06/05/2024
HU8780,create,06/05/2024,international,ADD,LAX,Boeing 777,06/05/2024
SH5962,delete,06/05/2024,international,ADD,JFK,Boeing 747,06/05/2024
NC6317,delete,06/05/2024,international,ADD,DXB,Boeing 767,06/05/2024
ME9312,delete,06/05/2024,international,ADD,CDG,Airbus A330,06/05/2024
BK6717,delete,06/05/2024,international,ADD,HND,Boeing 767,06/05/2024
SP5459,delete,06/05/2024,international,ADD,SIN,Boeing 747,06/05/2024
GB3912,delete,06/05/2024,local,ADD,GDQ,Britten-Norman BN-2 Islander,06/05/2024
FR1451,delete,06/05/2024,international,ADD,ICN,Boeing 767,06/05/2024
UQ5610,delete,06/05/2024,international,ADD,SFO,Boeing 747,06/05/2024
SN4121,delete,06/05/2024,international,ADD,FRA,Airbus A330,06/05/2024
OQ6065,delete,06/05/2024,local,ADD,MQX,Beechcraft 1900,06/05/2024
TP5158,delete,06/05/2024,international,ADD,AMS,Boeing 767,06/05/2024
FD4908,delete,06/05/2024,international,ADD,SIN,Boeing 787 Dreamliner,06/05/2024
FT3600,delete,06/05/2024,local,ADD,AMH,d.Havilland Canada DHC-6 Twin O,06/05/2024
US3944,delete,06/05/2024,local,ADD,JIJ,CASA C-212 Aviocar,06/05/2024
UG9515,delete,06/05/2024,local,ADD,MQX,d.Havilland Canada DHC-6 Twin O,06/05/2024
XG8929,delete,06/05/2024,local,ADD,DIR,Cessna 208 Caravan,06/05/2024
