flightId,updatedAt,updatedDate,reason,description
SH5962,06/05/2024,06/05/2024,Weather Conditions,no description provided
NC6317,06/05/2024,06/05/2024,Weather Conditions,no description provided
ME9312,06/05/2024,06/05/2024,Weather Conditions,no description provided
BK6717,06/05/2024,06/05/2024,Weather Conditions,no description provided
SP5459,06/05/2024,06/05/2024,Weather Conditions,no description provided
GB3912,06/05/2024,06/05/2024,Weather Conditions,no description provided
FR1451,06/05/2024,06/05/2024,Weather Conditions,no description provided
UQ5610,06/05/2024,06/05/2024,Weather Conditions,no description provided
SN4121,06/05/2024,06/05/2024,Weather Conditions,no description provided
OQ6065,06/05/2024,06/05/2024,Weather Conditions,no description provided
TP5158,06/05/2024,06/05/2024,Weather Conditions,no description provided
FD4908,06/05/2024,06/05/2024,Weather Conditions,no description provided
FT3600,06/05/2024,06/05/2024,Weather Conditions,no description provided
US3944,06/05/2024,06/05/2024,Weather Conditions,no description provided
UG9515,06/05/2024,06/05/2024,Weather Conditions,no description provided
XG8929,06/05/2024,06/05/2024,Weather Conditions,no description provided
IS7971,06/05/2024,06/05/2024,Weather Conditions,no description provided
QX5469,06/05/2024,06/05/2024,Weather Conditions,no description provided
QQ2869,06/05/2024,06/05/2024,Weather Conditions,no description provided
YE4261,06/05/2024,06/05/2024,Weather Conditions,no description provided
OZ9415,06/05/2024,06/05/2024,Weather Conditions,no description provided
NO3116,06/05/2024,06/05/2024,Weather Conditions,no description provided
ZF6964,06/05/2024,06/05/2024,Weather Conditions,no description provided
RI4799,06/05/2024,06/05/2024,Weather Conditions,no description provided
NF4361,06/05/2024,31/05/2024,Natural Disasters,no description provided
NF4361,06/05/2024,31/05/2024,Weather Conditions,no description provided
XV7661,09/05/2024,09/05/2024,Weather Conditions,no description provided
YQ3892,09/05/2024,09/05/2024,Weather Conditions,no description provided
SI7003,09/05/2024,09/05/2024,Weather Conditions,no description provided
PH2481,09/05/2024,09/05/2024,Weather Conditions,no description provided
XS6731,09/05/2024,09/05/2024,Weather Conditions,no description provided
WF9885,09/05/2024,09/05/2024,Weather Conditions,no description provided
FT3369,09/05/2024,09/05/2024,Weather Conditions,no description provided
QS9112,09/05/2024,09/05/2024,Weather Conditions,no description provided
OI4712,09/05/2024,09/05/2024,Weather Conditions,no description provided
UM6605,09/05/2024,09/05/2024,Weather Conditions,no description provided
PN9710,09/05/2024,09/05/2024,Weather Conditions,no description provided
HX6127,09/05/2024,09/05/2024,Weather Conditions,no description provided
AY3796,09/05/2024,09/05/2024,Weather Conditions,no description provided
EK3253,09/05/2024,09/05/2024,Weather Conditions,no description provided
XJ1572,09/05/2024,09/05/2024,Weather Conditions,no description provided
NX1765,09/05/2024,09/05/2024,Weather Conditions,no description provided
SQ4612,09/05/2024,09/05/2024,Weather Conditions,no description provided
HI3216,09/05/2024,09/05/2024,Weather Conditions,no description provided
FO6156,09/05/2024,09/05/2024,Weather Conditions,no description provided
IC6481,09/05/2024,09/05/2024,Weather Conditions,no description provided
OF2446,09/05/2024,09/05/2024,Weather Conditions,no description provided
QD3879,09/05/2024,09/05/2024,Weather Conditions,no description provided
RA9742,09/05/2024,09/05/2024,Weather Conditions,no description provided
ZA2422,09/05/2024,09/05/2024,Weather Conditions,no description provided
KI3196,09/05/2024,09/05/2024,Weather Conditions,no description provided
CB5828,09/05/2024,09/05/2024,Weather Conditions,no description provided
EI5044,09/05/2024,09/05/2024,Weather Conditions,no description provided
KI7340,09/05/2024,09/05/2024,Weather Conditions,no description provided
LP7901,09/05/2024,09/05/2024,Weather Conditions,no description provided
BQ7341,09/05/2024,09/05/2024,Weather Conditions,no description provided
KG7017,09/05/2024,09/05/2024,Weather Conditions,no description provided
QU8913,09/05/2024,09/05/2024,Weather Conditions,no description provided
QN6145,09/05/2024,09/05/2024,Weather Conditions,no description provided
KJ6599,09/05/2024,09/05/2024,Weather Conditions,no description provided
AQ9506,09/05/2024,09/05/2024,Weather Conditions,no description provided
UG6968,09/05/2024,09/05/2024,Weather Conditions,no description provided
GE5507,09/05/2024,09/05/2024,Weather Conditions,no description provided
TD3827,09/05/2024,09/05/2024,Weather Conditions,no description provided
CV6228,09/05/2024,09/05/2024,Weather Conditions,no description provided
CY2688,09/05/2024,09/05/2024,Weather Conditions,no description provided
MP3421,09/05/2024,09/05/2024,Weather Conditions,no description provided
SY5072,09/05/2024,09/05/2024,Weather Conditions,no description provided
VQ3109,09/05/2024,09/05/2024,Weather Conditions,no description provided
QR5717,09/05/2024,09/05/2024,Weather Conditions,no description provided
KP7807,09/05/2024,09/05/2024,Weather Conditions,no description provided
QN8103,09/05/2024,09/05/2024,Weather Conditions,no description provided
RS2774,09/05/2024,09/05/2024,Weather Conditions,no description provided
XH2728,09/05/2024,09/05/2024,Weather Conditions,no description provided
RS5772,09/05/2024,09/05/2024,Weather Conditions,no description provided
TP4928,09/05/2024,09/05/2024,Weather Conditions,no description provided
HL3688,09/05/2024,09/05/2024,Weather Conditions,no description provided
GW2260,09/05/2024,09/05/2024,Weather Conditions,no description provided
RJ2779,09/05/2024,09/05/2024,Weather Conditions,no description provided
IU6450,09/05/2024,09/05/2024,Weather Conditions,no description provided
SQ2016,09/05/2024,09/05/2024,Weather Conditions,no description provided
QN1379,09/05/2024,09/05/2024,Weather Conditions,no description provided
YN1346,09/05/2024,09/05/2024,Weather Conditions,no description provided
KD8371,09/05/2024,09/05/2024,Weather Conditions,no description provided
YI6423,09/05/2024,09/05/2024,Weather Conditions,no description provided
VE1075,09/05/2024,09/05/2024,Weather Conditions,no description provided
FD7510,09/05/2024,09/05/2024,Weather Conditions,no description provided
KA6972,09/05/2024,09/05/2024,Weather Conditions,no description provided
IX2349,09/05/2024,09/05/2024,Weather Conditions,no description provided
BF2509,09/05/2024,09/05/2024,Weather Conditions,no description provided
UX8585,09/05/2024,09/05/2024,Weather Conditions,no description provided
DC4237,09/05/2024,09/05/2024,Weather Conditions,no description provided
MK3042,09/05/2024,09/05/2024,Weather Conditions,no description provided
ED2383,09/05/2024,09/05/2024,Weather Conditions,no description provided
SC6353,09/05/2024,09/05/2024,Weather Conditions,no description provided
DA9295,09/05/2024,09/05/2024,Weather Conditions,no description provided
VU2639,09/05/2024,09/05/2024,Weather Conditions,no description provided
CU9546,09/05/2024,09/05/2024,Weather Conditions,no description provided
TQ2850,09/05/2024,09/05/2024,Weather Conditions,no description provided
OH5539,09/05/2024,09/05/2024,Weather Conditions,no description provided
FG2911,09/05/2024,09/05/2024,Weather Conditions,no description provided
KA9057,09/05/2024,09/05/2024,Weather Conditions,no description provided
OI1319,09/05/2024,09/05/2024,Weather Conditions,no description provided
PE4596,09/05/2024,09/05/2024,Weather Conditions,no description provided
QN1155,09/05/2024,09/05/2024,Weather Conditions,no description provided
NU4309,09/05/2024,09/05/2024,Weather Conditions,no description provided
GJ7713,09/05/2024,09/05/2024,Weather Conditions,no description provided
WX1288,09/05/2024,09/05/2024,Weather Conditions,no description provided
DW3514,09/05/2024,09/05/2024,Weather Conditions,no description provided
SD1762,09/05/2024,09/05/2024,Weather Conditions,no description provided
NI9892,09/05/2024,09/05/2024,Weather Conditions,no description provided
IU5898,09/05/2024,09/05/2024,Weather Conditions,no description provided
FX6048,09/05/2024,09/05/2024,Weather Conditions,no description provided
KI1747,09/05/2024,09/05/2024,Weather Conditions,no description provided
BX8920,09/05/2024,09/05/2024,Weather Conditions,no description provided
JX6169,09/05/2024,09/05/2024,Weather Conditions,no description provided
RA1733,09/05/2024,09/05/2024,Weather Conditions,no description provided
JX7228,09/05/2024,09/05/2024,Weather Conditions,no description provided
OW7328,09/05/2024,09/05/2024,Weather Conditions,no description provided
